prime_recipient,award_amount,sub_recipient,address1,address2,address3,city,state,zip,county,district,award_number,award_type,award_description,sub_award,spent_to_date,project_description,project_status,spending_category,category_description
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,LAST FRONTIER MOTOR SPORTS,1450 Karen Way,,,Fairbanks,AK,99709-4650,AK-FAIRBANKS NORTH STAR,AK00,202136,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,LAST FRONTIER MOTOR SPORTS,1450 Karen Way,,,Fairbanks,AK,99709-4650,AK-FAIRBANKS NORTH STAR,AK00,202136,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,100000.0,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"LAST FRONTIER POLARIS, INC.",1450 Karen Way,,,Fairbanks,AK,99709-4650,AK-FAIRBANKS NORTH STAR,AK00,202121,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"LAST FRONTIER POLARIS, INC.",1450 Karen Way,,,Fairbanks,AK,99709-4650,AK-FAIRBANKS NORTH STAR,AK00,202121,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,100000.0,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"LATITUDE 63 NORTH, INC.",PO BOX 107,,,Denali National Park,AK,99755-0107,AK-DENALI,AK00,203410,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"LATITUDE 63 NORTH, INC.",PO BOX 107,,,Denali National Park,AK,99755-0107,AK-DENALI,AK00,203410,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,100000.0,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"LEARNING SYSTEMS, LLC",3351 Arctic Blvd,,,Anchorage,AK,99503-4522,AK-ANCHORAGE,AK00,203427,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",58108.58,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"LEARNING SYSTEMS, LLC",3351 Arctic Blvd,,,Anchorage,AK,99503-4522,AK-ANCHORAGE,AK00,203427,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",58108.58,58108.58,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"LEE'S SEAFOOD, LLC",3131 Delta Dr,,,Anchorage,AK,99502-4449,AK-ANCHORAGE,AK00,200220,GRANT,"AK CARES grants are for the payment of eligible expenses for Covid-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,100000.0,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,LEI'S POKE STOP LLC,110 Muldoon Rd # 107,,,Anchorage,AK,99504-1403,AK-ANCHORAGE,AK00,201443,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",53082.19,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,LEI'S POKE STOP LLC,110 Muldoon Rd # 107,,,Anchorage,AK,99504-1403,AK-ANCHORAGE,AK00,201443,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",53082.19,53082.19,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,LEKSKOLA INTERNATIONAL LLC,PO BOX 771984,,,Eagle River,AK,99577-1984,AK-ANCHORAGE,AK00,,DIRECT,,56000.00005,56000.0,,,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,LEKSKOLA INTERNATIONAL LLC,PO BOX 771984,,,Eagle River,AK,99577-1984,AK-ANCHORAGE,AK00,,DIRECT,,56000.00005,56000.0,State of Alaska Other COVID-19 Support through the Department of Health and Social Services,Fully completed,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,LEKSKOLA INTERNATIONAL LLC,PO BOX 771984,,,Eagle River,AK,99577-1984,AK-ANCHORAGE,AK00,,DIRECT,,56000.00005,-56000.0,State of Alaska Other COVID-19 Support through the Department of Health and Social Services,Not started,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,LEONARD J. DIPAOLO D/B/A PENINSULA REPORTING,110 Trading Bay Rd Ste 100,,,Kenai,AK,99611-9114,AK-KENAI PENINSULA,AK00,203556,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",76673.42,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,LEONARD J. DIPAOLO D/B/A PENINSULA REPORTING,110 Trading Bay Rd Ste 100,,,Kenai,AK,99611-9114,AK-KENAI PENINSULA,AK00,203556,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",76673.42,76673.42,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,LEONTEY KUZMIN,PO BOX 1542,,,Delta Junction,AK,99737-1542,AK-SOUTHEAST FAIRBANKS,AK00,203788,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",86224.29,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,LEONTEY KUZMIN,PO BOX 1542,,,Delta Junction,AK,99737-1542,AK-SOUTHEAST FAIRBANKS,AK00,203788,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",86224.29,86224.29,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,LIGHTHOUSE CHRISTIAN FELLOWSHIP,PO BOX 211942,,,Anchorage,AK,99521-1942,AK-ANCHORAGE,AK00,202249,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",88888.0,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,LIGHTHOUSE CHRISTIAN FELLOWSHIP,PO BOX 211942,,,Anchorage,AK,99521-1942,AK-ANCHORAGE,AK00,202249,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",88888.0,88888.0,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"LITTLE FEET, INC.",7560 Park West Cir,,,Anchorage,AK,99502-1885,AK-ANCHORAGE,AK00,202965,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,100000.0,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"LITTLE FEET, INC.",7560 Park West Cir,,,Anchorage,AK,99502-1885,AK-ANCHORAGE,AK00,202965,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,LITTLE PEOPLE'S LEARNING WORLD,35095 Huntington Dr,,,Soldotna,AK,99669-8308,AK-KENAI PENINSULA,AK00,201056,GRANT,"AK CARES grants are for the payment of eligible expenses for Covid-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",90279.0,90279.0,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,LIVING WELLS MARINE LLC,109 Holly Pointe,,,Warner Robins,GA,31088-6760,GA-HOUSTON,GA08,201728,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",69915.25,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,LIVING WELLS MARINE LLC,109 Holly Pointe,,,Warner Robins,GA,31088-6760,GA-HOUSTON,GA08,201728,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",69915.25,69915.25,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"LOGISTICS, LLC",PO BOX 201114,,,Anchorage,AK,99520-1114,AK-ANCHORAGE,AK00,202689,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"LOGISTICS, LLC",PO BOX 201114,,,Anchorage,AK,99520-1114,AK-ANCHORAGE,AK00,202689,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,100000.0,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,LOKI ENTERPRISES INC.,2838 Nevada St,,,Bellingham,WA,98226-3535,WA-WHATCOM,WA02,202237,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,LOKI ENTERPRISES INC.,2838 Nevada St,,,Bellingham,WA,98226-3535,WA-WHATCOM,WA02,202237,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,100000.0,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,LONNIE M. LINDEMUTH,PO BOX 2069,,,Snohomish,WA,98291-2069,WA-SNOHOMISH,WA01,204287,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",80364.1,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,LONNIE M. LINDEMUTH,PO BOX 2069,,,Snohomish,WA,98291-2069,WA-SNOHOMISH,WA01,204287,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",80364.1,80364.1,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,LOPEZ AND SONS LLC,PO BOX 991,,,Valdez,AK,99686-0991,,,203862,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,100000.0,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
