prime_recipient,sub_recipient,Location info,county,Award number,Award type,awards,Money spent to date,To be spent
"PUBLIC SAFETY, ALASKA DEPT OF","KOTZEBUE, CITY OF",PO BOX 46 Kotzebue AK 99752-0046,AK-NORTHWEST ARCTIC,20-CRF-116,GRANT,3179600.79,3179600.79,0
"PUBLIC SAFETY, ALASKA DEPT OF","KOYUK, CITY OF",200 Birch St Koyuk AK 99753-9800,AK-NOME,20-CRF-117,GRANT,219257.92,219257.92,0
"PUBLIC SAFETY, ALASKA DEPT OF",KRAV MAGA ISRAELI LLC,PO BOX 242801 Anchorage AK 99524-2801,AK-ANCHORAGE,203475,GRANT,50295.56,50295.56,0
"PUBLIC SAFETY, ALASKA DEPT OF",KRUZOF FISHERIES LLC,PO BOX 3302 Seward AK 99664-3302,AK-KENAI PENINSULA,201636,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",KUEHG CORP,650 NE Holladay St Ste 1400 Portland OR 97232-2096,OR-MULTNOMAH,,DIRECT,303782,303782,0
"PUBLIC SAFETY, ALASKA DEPT OF",KUEHG CORP,4145 Tudor Centre Dr Anchorage AK 99508-5902,AK-ANCHORAGE,,DIRECT,93626.00003,93626,0
"PUBLIC SAFETY, ALASKA DEPT OF","KUPREANOF, CITY OF",PO BOX 50 Petersburg AK 99833-0050,AK-PETERSBURG,20-CRF-118,GRANT,83815.28,83815.28,0
"PUBLIC SAFETY, ALASKA DEPT OF",KUZMIN FISHING,9417 W Carolines Cir Wasilla AK 99623-5007,AK-MATANUSKA-SUSITNA,201154,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",KYLE WISNER HARVEST,PO BOX 314 Anchor Point AK 99556-0314,AK-KENAI PENINSULA,202019,GRANT,72239.8,72239.8,0
"PUBLIC SAFETY, ALASKA DEPT OF",LADY KATHRYN,PO BOX 8918 Kodiak AK 99615-8918,AK-KODIAK ISLAND,203832,GRANT,91735.08,91735.08,0
"PUBLIC SAFETY, ALASKA DEPT OF",LAKE AND PENINSULA BOROUGH,PO BOX 495 King Salmon AK 99613-0495,AK-BRISTOL BAY,20-CRF-121,GRANT,2247765.13,2247765.13,0
"PUBLIC SAFETY, ALASKA DEPT OF",LAND'S END ACQUISITION CORP.,4786 Homer Spit Rd Homer AK 99603-8001,AK-KENAI PENINSULA,201978,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",LANDON CARPENTER,1107 Diamond St San Francisco CA 94114-3630,CA-SAN FRANCISCO,202278,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","LARSEN BAY AIR, LLC",PO BOX 92 Larsen Bay AK 99624-0092,AK-KODIAK ISLAND,203537,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","LARSEN BAY, CITY OF",PO BOX 8 Larsen Bay AK 99624-0008,AK-KODIAK ISLAND,20-CRF-122,GRANT,140435.85,73024.33,67411.52
"PUBLIC SAFETY, ALASKA DEPT OF",LARSEN FISHERY,8079 Skeena Way Blaine WA 98230-9366,WA-WHATCOM,200411,GRANT,56619.46,56619.46,0
"PUBLIC SAFETY, ALASKA DEPT OF",LAST CHANCE,9768 W Trimotor St Wasilla AK 99623-5056,AK-MATANUSKA-SUSITNA,200663,GRANT,69762.25,69762.25,0
"PUBLIC SAFETY, ALASKA DEPT OF",LAST FRONTIER CONTRACTING L.L.C,5200 E Sams Cir Wasilla AK 99654-4358,AK-MATANUSKA-SUSITNA,200381,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",LAST FRONTIER MOTOR SPORTS,1450 Karen Way Fairbanks AK 99709-4650,AK-FAIRBANKS NORTH STAR,202136,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","LAST FRONTIER POLARIS, INC.",1450 Karen Way Fairbanks AK 99709-4650,AK-FAIRBANKS NORTH STAR,202121,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","LATITUDE 63 NORTH, INC.",PO BOX 107 Denali National Park AK 99755-0107,AK-DENALI,203410,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","LEARNING SYSTEMS, LLC",3351 Arctic Blvd Anchorage AK 99503-4522,AK-ANCHORAGE,203427,GRANT,58108.58,58108.58,0
"PUBLIC SAFETY, ALASKA DEPT OF","LEE'S SEAFOOD, LLC",3131 Delta Dr Anchorage AK 99502-4449,AK-ANCHORAGE,200220,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",LEI'S POKE STOP LLC,110 Muldoon Rd # 107 Anchorage AK 99504-1403,AK-ANCHORAGE,201443,GRANT,53082.19,53082.19,0
"PUBLIC SAFETY, ALASKA DEPT OF",LEKSKOLA INTERNATIONAL LLC,PO BOX 771984 Eagle River AK 99577-1984,AK-ANCHORAGE,,DIRECT,56000.00005,56000,0
"PUBLIC SAFETY, ALASKA DEPT OF",LEONARD J. DIPAOLO D/B/A PENINSULA REPORTING,110 Trading Bay Rd Ste 100 Kenai AK 99611-9114,AK-KENAI PENINSULA,203556,GRANT,76673.42,76673.42,0
"PUBLIC SAFETY, ALASKA DEPT OF",LEONTEY KUZMIN,PO BOX 1542 Delta Junction AK 99737-1542,AK-SOUTHEAST FAIRBANKS,203788,GRANT,86224.29,86224.29,0
"PUBLIC SAFETY, ALASKA DEPT OF",LIGHTHOUSE CHRISTIAN FELLOWSHIP,PO BOX 211942 Anchorage AK 99521-1942,AK-ANCHORAGE,202249,GRANT,88888,88888,0
"PUBLIC SAFETY, ALASKA DEPT OF","LITTLE FEET, INC.",7560 Park West Cir Anchorage AK 99502-1885,AK-ANCHORAGE,202965,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",LITTLE PEOPLE'S LEARNING WORLD,35095 Huntington Dr Soldotna AK 99669-8308,AK-KENAI PENINSULA,201056,GRANT,90279,90279,0
"PUBLIC SAFETY, ALASKA DEPT OF",LIVING WELLS MARINE LLC,109 Holly Pointe Warner Robins GA 31088-6760,GA-HOUSTON,201728,GRANT,69915.25,69915.25,0
"PUBLIC SAFETY, ALASKA DEPT OF","LOGISTICS, LLC",PO BOX 201114 Anchorage AK 99520-1114,AK-ANCHORAGE,202689,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",LOKI ENTERPRISES INC.,2838 Nevada St Bellingham WA 98226-3535,WA-WHATCOM,202237,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",LONNIE M. LINDEMUTH,PO BOX 2069 Snohomish WA 98291-2069,WA-SNOHOMISH,204287,GRANT,80364.1,80364.1,0
"PUBLIC SAFETY, ALASKA DEPT OF",LOPEZ AND SONS LLC,PO BOX 991 Valdez AK 99686-0991,,203862,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","LOUGHBEG FISHERIES, INC.",PO BOX 2733 Kodiak AK 99615-2733,AK-KODIAK ISLAND,203315,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",LOYAL LADY ENTERPRISES,PO BOX 92669 Anchorage AK 99509-2669,AK-ANCHORAGE,200404,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","LRP ENTERPRISES, LLC",295 E Pioneer Ave Homer AK 99603-7533,AK-KENAI PENINSULA,204214,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",LUCKY WISHBONE INC.,1033 E 5th Ave Anchorage AK 99501-2738,AK-ANCHORAGE,200488,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",LUKE WHITETHORN,PO BOX 1716 Petersburg AK 99833-1716,AK-PETERSBURG,203972,GRANT,86822.1,86822.1,0
"PUBLIC SAFETY, ALASKA DEPT OF",LUNATE FISHERIES LLC,PO BOX 316 Kodiak AK 99615-0316,AK-KODIAK ISLAND,201396,GRANT,69116,69116,0
"PUBLIC SAFETY, ALASKA DEPT OF",LUPINE ENT. LLC,4675 N Mckean Dr Palmer AK 99645-9386,AK-MATANUSKA-SUSITNA,201322,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",LUTHERAN SCHOOL ASSOC OF ANCH INC,8100 Arctic Blvd Anchorage AK 99518-3003,AK-ANCHORAGE,,DIRECT,124000,124000,0
"PUBLIC SAFETY, ALASKA DEPT OF",LYNIQUE TIARE OVESON,68363 Hunter Rd Summerville OR 97876-8134,OR-UNION,202946,GRANT,50597.76,50597.76,0
"PUBLIC SAFETY, ALASKA DEPT OF",M & G PROPERTIES,PO BOX 771212 Eagle River AK 99577-1212,AK-ANCHORAGE,203006,GRANT,93080.96,93080.96,0
"PUBLIC SAFETY, ALASKA DEPT OF","M & J PLUMBING AND HEATING, INC.",34360 Business Park Frontage Rd Soldotna AK 99669-8236,AK-KENAI PENINSULA,202909,GRANT,94999.81,94999.81,0
"PUBLIC SAFETY, ALASKA DEPT OF",MAD DASH INC.,585 Pleasant Bay Rd Bellingham WA 98229-8918,WA-WHATCOM,202359,GRANT,59971.31,59971.31,0
"PUBLIC SAFETY, ALASKA DEPT OF",MAGNUS A MARTENS LLC,410 Calhoun Ave Juneau AK 99801-1704,AK-JUNEAU,203957,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",MAKENA O'TOOLE,PO BOX 1986 Cordova AK 99574-1986,AK-VALDEZ CORDOVA,202915,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",MALCOLM J ROSS,41090 Dorothy Dr # 3476 Homer AK 99603-9372,AK-KENAI PENINSULA,202093,GRANT,98440.32,98440.32,0
"PUBLIC SAFETY, ALASKA DEPT OF",MANIILAQ ASSOCIATION,PO BOX 256 Kotzebue AK 99752-0256,AK-NORTHWEST ARCTIC,605-235-21004,GRANT,98627,98627,0
"PUBLIC SAFETY, ALASKA DEPT OF",MANOKOTAK CITY OFFICE,PO BOX 170 Manokotak AK 99628-0170,AK-DILLINGHAM,20-CRF-125,GRANT,318815.9,318815.9,0
"PUBLIC SAFETY, ALASKA DEPT OF",MARC ALBERT,6408 E Keynote St Long Beach CA 90808-2420,CA-LOS ANGELES,200685,GRANT,61049.14,61049.14,0
"PUBLIC SAFETY, ALASKA DEPT OF","MARITIME ENTERPRISES, INC.",3520 Faa Rd Homer AK 99603-8030,AK-KENAI PENINSULA,203418,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",MARITIME INDUSTRIES,5116 W 80th Ave Ste A Anchorage AK 99502-4113,AK-ANCHORAGE,200242,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",MARK ROTH,PO BOX 2008 Homer AK 99603-2008,AK-KENAI PENINSULA,202442,GRANT,94990.46,94990.46,0
"PUBLIC SAFETY, ALASKA DEPT OF",MARKUSEN FISHERIES,7627 Avery Ln Custer WA 98240-9547,WA-WHATCOM,201908,GRANT,50428.73,50428.73,0
"PUBLIC SAFETY, ALASKA DEPT OF",MATANUSKA BREWING COMPANY LLC,513 S Valley Way Palmer AK 99645-6425,AK-MATANUSKA-SUSITNA,202863,GRANT,91270.34,91270.34,0
"PUBLIC SAFETY, ALASKA DEPT OF","MATANUSKA BREWING DOWNTOWN, LLC",PO BOX 773192 Eagle River AK 99577-3192,AK-ANCHORAGE,202881,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",MATANUSKA-SUSITNA BOROUGH,350 E Dahlia Ave Palmer AK 99645-6411,AK-MATANUSKA-SUSITNA,20-CRF-127,GRANT,38032471.79,37998096.68,34375.11
"PUBLIC SAFETY, ALASKA DEPT OF",MATHEW J BABIC,PO BOX 988 Cordova AK 99574-0988,AK-VALDEZ CORDOVA,202084,GRANT,68351.54,68351.54,0
"PUBLIC SAFETY, ALASKA DEPT OF",MATRIX,PO BOX 603 Willow AK 99688-0603,AK-MATANUSKA-SUSITNA,203380,GRANT,67796.74,67796.74,0
"PUBLIC SAFETY, ALASKA DEPT OF",MATT HONKOLA,PO BOX 2125 Cordova AK 99574-2125,AK-VALDEZ CORDOVA,204220,GRANT,72809.43,72809.43,0
"PUBLIC SAFETY, ALASKA DEPT OF",MATT NILSEN F/V SEAFORTH,PO BOX 1463 Petersburg AK 99833-1463,AK-PETERSBURG,203124,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",MATTHEW D. LAWRIE (F/V BORN AGAIN),PO BOX 6006 Sitka AK 99835-6006,AK-SITKA,200059,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",MAVERICK CHARTERS LLC,PO BOX 658 Homer AK 99603-0658,AK-KENAI PENINSULA,203017,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",MAXCY FISHING INC,PO BOX 2016 Cordova AK 99574-2016,AK-VALDEZ CORDOVA,201921,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",MAXINE  W,10805 23rd Dr SE Everett WA 98208-7802,WA-SNOHOMISH,202240,GRANT,71676.57,71676.57,0
"PUBLIC SAFETY, ALASKA DEPT OF",MB TRUCKING,511 W 54th Ave Anchorage AK 99518-1136,AK-ANCHORAGE,201187,GRANT,64253,64253,0
"PUBLIC SAFETY, ALASKA DEPT OF",MCCARTHY AREA COUNCIL,PO BOX Mxy Glennallen AK 99588-8998,AK-VALDEZ CORDOVA,20-CRF-128,GRANT,75000.00004,75000,0
"PUBLIC SAFETY, ALASKA DEPT OF","MCGRATH, CITY OF",PO BOX 30 Mc Grath AK 99627-0030,AK-YUKON-KOYUKUK,20-CRF-129,GRANT,184355.25,183299.5,1055.75
"PUBLIC SAFETY, ALASKA DEPT OF",MCKYER TRUMBLEE,PO BOX 1094 Cordova AK 99574-1094,AK-VALDEZ CORDOVA,200210,GRANT,66602.31,66602.31,0
"PUBLIC SAFETY, ALASKA DEPT OF","MD FISHERIES, LLC",PO BOX 616 Sitka AK 99835-0616,AK-SITKA,205156,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",MD INC,3300 Arctic Blvd Ste 101 Anchorage AK 99503-4579,AK-ANCHORAGE,202245,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",MEADOWS FISHING CORPORATION,4894 Wendy Ln Kelseyville CA 95451-8948,CA-LAKE,203508,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","MEDICAL EQUIPMENTS DISTRIBUTORS OF ALASKA, INC.",3650 Lake Otis Pkwy Ste 202 Anchorage AK 99508-5219,AK-ANCHORAGE,203488,GRANT,98516,98516,0
"PUBLIC SAFETY, ALASKA DEPT OF",MEGAN M CORAZZA,PO BOX 732 Homer AK 99603-0732,AK-KENAI PENINSULA,201484,GRANT,67676.04,67676.04,0
"PUBLIC SAFETY, ALASKA DEPT OF",MEIERS LAKE ROADHOUSE,HC 2 BOX 140 Gakona AK 99586-9708,AK-VALDEZ CORDOVA,202116,GRANT,86666.58,86666.58,0
"PUBLIC SAFETY, ALASKA DEPT OF",MEINERS FISHERIES INC,PO BOX 21843 Juneau AK 99802-1843,AK-JUNEAU,203439,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","MEKORYUK, CITY OF",PO BOX 29 Mekoryuk AK 99630-0029,AK-BETHEL,20-CRF-130,GRANT,181307.95,181307.95,0
"PUBLIC SAFETY, ALASKA DEPT OF",MERRITT SEAFOODS,PO BOX 401 Wrangell AK 99929-0401,AK-WRANGELL,203828,GRANT,85657.39,85657.39,0
"PUBLIC SAFETY, ALASKA DEPT OF",MIA VENTURES LTD.,PO BOX 64 Chicken AK 99732-0064,AK-SOUTHEAST FAIRBANKS,201911,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",MICHAEL A BABIC,PO BOX 1853 Cordova AK 99574-1853,AK-VALDEZ CORDOVA,202208,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",MICHAEL DURTSCHI,PO BOX 1012 Girdwood AK 99587-1012,AK-ANCHORAGE,200379,GRANT,67993,67993,0
"PUBLIC SAFETY, ALASKA DEPT OF",MICHAEL E. GRUNERT (F/V CAPTAIN SAM),PO BOX 187 Chignik Lagoon AK 99565-0187,AK-KENAI PENINSULA,200903,GRANT,54607.5,54607.5,0
"PUBLIC SAFETY, ALASKA DEPT OF",MICHAEL HAND INC.,PO BOX 2181 Cordova AK 99574-2181,AK-VALDEZ CORDOVA,201905,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",MICHAEL KUSNETSOV,32375 Falls Creek Rd Homer AK 99603-9761,AK-KENAI PENINSULA,200128,GRANT,58664.31,58664.31,0
"PUBLIC SAFETY, ALASKA DEPT OF",MICHAEL PENNYLEGION,6364 Woodlyn Rd Ferndale WA 98248-9465,WA-WHATCOM,200611,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","MICHAEL QUINN CONSTRUCTION, INC.",PO BOX 772641 Eagle River AK 99577-2641,AK-ANCHORAGE,201279,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",MIDNIGHT SUN GALLERY & FOOD,PO BOX 378 Talkeetna AK 99676-0378,AK-MATANUSKA-SUSITNA,203491,GRANT,62543.07004,62543.07,0
"PUBLIC SAFETY, ALASKA DEPT OF","MIDNIGHT SUN SMILES, LLC",2000 Abbott Rd Ste 100 Anchorage AK 99507-3878,AK-ANCHORAGE,202401,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",MIGHTY WID ENT. INC.,2021 Sterling Hwy Homer AK 99603-8301,AK-KENAI PENINSULA,202161,GRANT,0,0,0
"PUBLIC SAFETY, ALASKA DEPT OF","MIGHTY WIND ENTERPRISES, INC.",2021 Sterling Hwy Homer AK 99603-8301,AK-KENAI PENINSULA,202161-corrected,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",MIKE ANDERSON,PO BOX 872886 Wasilla AK 99687-2886,AK-MATANUSKA-SUSITNA,201930,GRANT,58946.94,58946.94,0
"PUBLIC SAFETY, ALASKA DEPT OF",MIKES QUALITY MEATS INC,12110 Business Blvd Ste 12 Eagle River AK 99577-7741,AK-ANCHORAGE,202994,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",MILNE MARINE LLC,PO BOX 1846 Homer AK 99603-1846,AK-KENAI PENINSULA,202191,GRANT,96115.45,96115.45,0
"PUBLIC SAFETY, ALASKA DEPT OF",MINTER BAY LIMITED,155 Cordova St Juneau AK 99801-1907,AK-JUNEAU,200050,GRANT,97211.64,97211.64,0
"PUBLIC SAFETY, ALASKA DEPT OF",MISAEL MARTUSHEV,PO BOX 1756 Homer AK 99603-1756,AK-KENAI PENINSULA,200028,GRANT,51989.96,51989.96,0
"PUBLIC SAFETY, ALASKA DEPT OF",MISS ALISON FISHERIES LLC,4016 Meridian Ave N Tulalip WA 98271-6813,WA-SNOHOMISH,203435,GRANT,79670.12,79670.12,0
"PUBLIC SAFETY, ALASKA DEPT OF",MISTY FJORD SEAFOOD INC,2417 Tongass Ave Ste 111 Ketchikan AK 99901-5968,AK-KETCHIKAN GATEWAY,203486,GRANT,86594.89,86594.89,0
"PUBLIC SAFETY, ALASKA DEPT OF",MITCHELL NOWICKI,PO BOX 2232 Cordova AK 99574-2232,AK-VALDEZ CORDOVA,200626,GRANT,73472.5,73472.5,0
"PUBLIC SAFETY, ALASKA DEPT OF",MOOSEHORN CONSTRUCTION LLC,PO BOX 773253 Eagle River AK 99577-3253,AK-ANCHORAGE,201999,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",MORAN FISHERIES,1307 Broad St Bellingham WA 98229-8935,WA-WHATCOM,200067,GRANT,76052.58,76052.58,0
"PUBLIC SAFETY, ALASKA DEPT OF","MORO AIRCRAFT LEASING, INC.",PO BOX 16233 Two Rivers AK 99716-0233,AK-FAIRBANKS NORTH STAR,201430,GRANT,58740.9,58740.9,0
"PUBLIC SAFETY, ALASKA DEPT OF",MOTLEY MOO CREAMERY LLC,11900 Industry Way Ste M8 Anchorage AK 99515-3592,AK-ANCHORAGE,200335,GRANT,75198.04,75198.04,0
"PUBLIC SAFETY, ALASKA DEPT OF",MOUNTAIN VIEW SPORTS,11124 Old Seward Hwy Ste 600 Anchorage AK 99515-3167,AK-ANCHORAGE,201576,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","MOUNTAIN VILLAGE, CITY OF",PO BOX 32085 Mountain Village AK 99632-0085,AK-KUSILVAK,20-CRF-134,GRANT,453430.76,453430.76,0
"PUBLIC SAFETY, ALASKA DEPT OF",MOUSE TRAP PLAYSCHOOL INC,517 S Cobb St Palmer AK 99645-6319,AK-MATANUSKA-SUSITNA,,DIRECT,156478.45,156478.45,0
"PUBLIC SAFETY, ALASKA DEPT OF",MULTIPLE RECIPIENTS,5700 E TUDOR RD ANCHORAGE AK 99507-1225,AK-ANCHORAGE,,CONTRACT_AGGREGATE,1867840.66,1867840.66,0
"PUBLIC SAFETY, ALASKA DEPT OF",MULTIPLE RECIPIENTS,5700 E TUDOR RD ANCHORAGE AK 99507-1225,AK-ANCHORAGE,,DIRECT_AGGREGATE,75684554.62,75684554.62,0
"PUBLIC SAFETY, ALASKA DEPT OF",MULTIPLE RECIPIENTS,5700 E TUDOR RD ANCHORAGE AK 99507-1225,AK-ANCHORAGE,,GRANT_AGGREGATE,21964545.06,21964545.06,0
"PUBLIC SAFETY, ALASKA DEPT OF",MULTIPLE RECIPIENTS,5700 E TUDOR RD ANCHORAGE AK 99507-1225,AK-ANCHORAGE,,INDIVIDUAL,0,0,0
"PUBLIC SAFETY, ALASKA DEPT OF",MUSK OX DEVELOPMENT CORPORATION,PO BOX 587 Palmer AK 99645-0587,AK-MATANUSKA-SUSITNA,202029,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","MVMC, LLC",2555 Phillips Field Rd Fairbanks AK 99709-3933,AK-FAIRBANKS NORTH STAR,202221,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",N/W SALMON SLAYER LLC,PO BOX 1056 Craig AK 99921-1056,AK-PRINCE OF WALES-HYDER,203194,GRANT,92673.03,92673.03,0
"PUBLIC SAFETY, ALASKA DEPT OF",NAKADA CORPORATION,PO BOX 111369 Anchorage AK 99511-1369,AK-ANCHORAGE,201244,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","NAPAKIAK, CITY OF",PO BOX 34009 Napakiak AK 99634-0009,AK-BETHEL,20-CRF-136,GRANT,243668.97,243668.97,0
"PUBLIC SAFETY, ALASKA DEPT OF","NAPASKIAK, CITY OF",PO BOX 6109 Napaskiak AK 99559-6109,AK-BETHEL,20-CRF-137,GRANT,230831.75,230831.75,0
"PUBLIC SAFETY, ALASKA DEPT OF",NATHAN MORGAN FABER DMD PC,413 E Rezanof Dr Kodiak AK 99615-6367,AK-KODIAK ISLAND,201005,GRANT,93276.45,93276.45,0
"PUBLIC SAFETY, ALASKA DEPT OF",NATHAN WIDMANN FISHERIES,PO BOX 1883 Cordova AK 99574-1883,AK-VALDEZ CORDOVA,200437,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",NAUKATI BAY INC.,20 Huckleberry Cir Ketchikan AK 99901-9529,AK-KETCHIKAN GATEWAY,20-CRF-138,GRANT,75000.00004,75000,0
"PUBLIC SAFETY, ALASKA DEPT OF",NE HARBOR,PO BOX 1790 Kodiak AK 99615-1790,AK-KODIAK ISLAND,200281,GRANT,62543.07004,62543.07,0
"PUBLIC SAFETY, ALASKA DEPT OF",NEAR ISLAND SUPPLY,158 Alimaq Dr Kodiak AK 99615-6764,AK-KODIAK ISLAND,200532,GRANT,51557.06,51557.06,0
"PUBLIC SAFETY, ALASKA DEPT OF",NEIL REUTOV,PO BOX 879386 Wasilla AK 99687-9386,AK-MATANUSKA-SUSITNA,203344,GRANT,96203.99,96203.99,0
"PUBLIC SAFETY, ALASKA DEPT OF",NELS OTNESS III,PO BOX 2058 Petersburg AK 99833-2058,AK-PETERSBURG,203764,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","NENANA, CITY OF",PO BOX 70 Nenana AK 99760-0070,AK-YUKON-KOYUKUK,20-CRF-140,GRANT,264225.07,264225.07,0
"PUBLIC SAFETY, ALASKA DEPT OF",NEW GENERATIONS LLC,611 S Knik Goose Bay Rd Wasilla AK 99654-8078,AK-MATANUSKA-SUSITNA,,DIRECT,64800.00004,64800,0
"PUBLIC SAFETY, ALASKA DEPT OF","NEW STUYAHOK, CITY OF",PO BOX 10 New Stuyahok AK 99636-0010,AK-DILLINGHAM,20-CRF-141,GRANT,236939.99,79440.07,157499.92
"PUBLIC SAFETY, ALASKA DEPT OF","NEWHALEN, CITY OF",PO BOX 207 Iliamna AK 99606-0207,AK-LAKE AND PENINSULA,20-CRF-142,GRANT,144869.27,144869.27,0
"PUBLIC SAFETY, ALASKA DEPT OF","NEWHOUSE & VOGLER, CPA'S, APC",237 E Fireweed Ln Ste 200 Anchorage AK 99503-2000,AK-ANCHORAGE,202212,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",NEXT GEN PROPERTIES LLC,710 W Benson Blvd Anchorage AK 99503-3818,AK-ANCHORAGE,202861,GRANT,52369.86,52369.86,0
"PUBLIC SAFETY, ALASKA DEPT OF","NEXT LEVEL REALTY, LLC",1426 Hyder St Anchorage AK 99501-5432,AK-ANCHORAGE,203001,GRANT,53114.27,53114.27,0
"PUBLIC SAFETY, ALASKA DEPT OF",NICHOLAS NEBESKY,200 W 34th Ave # 277 Anchorage AK 99503-3969,AK-ANCHORAGE,204148,GRANT,71663.79,71663.79,0
"PUBLIC SAFETY, ALASKA DEPT OF","NICK JORDAN, INC.",668 Parkview Pl Blaine WA 98230-5183,WA-WHATCOM,202094,GRANT,75196.78,75196.78,0
"PUBLIC SAFETY, ALASKA DEPT OF","NIGHTMUTE, CITY OF",PO BOX 90010 Nightmute AK 99690-0010,AK-BETHEL,20-CRF-144,GRANT,173850.07,0,173850.07
"PUBLIC SAFETY, ALASKA DEPT OF",NIKIT REUTOV,PO BOX 46 Sterling AK 99672-0046,AK-KENAI PENINSULA,204120,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",NIKITA KUZMIN COMMERCIAL FISHERMAN,PO BOX 1542 Delta Junction AK 99737-1542,AK-SOUTHEAST FAIRBANKS,203527,GRANT,94305.18,94305.18,0
"PUBLIC SAFETY, ALASKA DEPT OF","NIKOLAI, CITY OF",PO BOX 9145 Nikolai AK 99691-0045,AK-YUKON-KOYUKUK,20-CRF-145,GRANT,104710.77,104710.77,0
"PUBLIC SAFETY, ALASKA DEPT OF",NINILCHIK CHARTERS LLC,PO BOX 1627 Soldotna AK 99669-1627,AK-KENAI PENINSULA,203518,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",NL CORPORATION,PO BOX 65 Denali Park AK 99755-0065,AK-DENALI,202848,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",NLJ ENTERPRISES,515 Rangeview Ave Homer AK 99603-7412,AK-KENAI PENINSULA,200800,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",NLPS INC,703 W Northern Lights Blvd Ste 200 Anchorage AK 99503-2644,AK-ANCHORAGE,,DIRECT,159200,159200,0
"PUBLIC SAFETY, ALASKA DEPT OF","NO SEE UM LODGE, INC.",5061 E Sams Cir Wasilla AK 99654-4305,AK-MATANUSKA-SUSITNA,201538,GRANT,63826,63826,0
